BUS_ID,BUS_NAME,VBASEKV,REG,U_FED
230.0,S.MESA-GO230,230.0,Sudeste-Centro-Oeste,GO
231.0,R.VERD-GO230,230.0,Sudeste-Centro-Oeste,GO
232.0,BSULT6-DF013,13.8,Sudeste-Centro-Oeste,DF
233.0,SAMAMB-DF500,500.0,Sudeste-Centro-Oeste,DF
234.0,SAMAMB-DF345,345.0,Sudeste-Centro-Oeste,DF
235.0,S.MESA-GO500,500.0,Sudeste-Centro-Oeste,GO
236.0,B.SUL--DF138,138.0,Sudeste-Centro-Oeste,DF
237.0,SAMAMB-DF138,138.0,Sudeste-Centro-Oeste,DF
238.0,R.VERD-GO138,138.0,Sudeste-Centro-Oeste,GO
239.0,S.MESA-GO138,138.0,Sudeste-Centro-Oeste,GO
241.0,RVERT1-GO013,13.8,Sudeste-Centro-Oeste,GO
242.0,BANDT1-GO013,13.8,Sudeste-Centro-Oeste,GO
243.0,BANDT2-GO013,13.8,Sudeste-Centro-Oeste,GO
245.0,BSULT7-DF013,13.8,Sudeste-Centro-Oeste,DF
246.0,MARIMB-MG013,13.8,Sudeste-Centro-Oeste,MG
247.0,C.BRAV-GO138,138.0,Sudeste-Centro-Oeste,GO
248.0,RBOIS-TAP138,138.0,Norte,AP
249.0,RCLARO-GO138,138.0,Sudeste-Centro-Oeste,GO
250.0,NPECA2UHE002,992.0,Sudeste-Centro-Oeste,RJ
251.0,N.PECA-RJ138,138.0,Sudeste-Centro-Oeste,RJ
252.0,N.PECA-RJ230,230.0,Sudeste-Centro-Oeste,RJ
253.0,FONTE2UHE002,992.0,Sudeste-Centro-Oeste,RJ
254.0,FONTES-RJ138,138.0,Sudeste-Centro-Oeste,RJ
255.0,PPASSOUHE002,992.0,Sudeste-Centro-Oeste,RJ
256.0,PPASSO-RJ138,138.0,Sudeste-Centro-Oeste,RJ
257.0,I.POMBUHE004,992.0,Sudeste-Centro-Oeste,RJ
258.0,I.POMB-RJ138,138.0,Sudeste-Centro-Oeste,RJ
259.0,SCECIL-RJ013,13.8,Sudeste-Centro-Oeste,RJ
260.0,S.CEC-PCH138,138.0,Sudeste-Centro-Oeste,RJ
261.0,VIGARI-RJ013,13.8,Sudeste-Centro-Oeste,RJ
262.0,VIGARI-RJ138,138.0,Sudeste-Centro-Oeste,RJ
263.0,TAQUAR-RJ138,138.0,Sudeste-Centro-Oeste,RJ
265.0,VULCAN-RJ138,138.0,Sudeste-Centro-Oeste,RJ
266.0,S.CLAR-RJ138,138.0,Sudeste-Centro-Oeste,RJ
267.0,CPP----RJ138,138.0,Sudeste-Centro-Oeste,RJ
268.0,CFRTAP-RJ138,138.0,Sudeste-Centro-Oeste,RJ
269.0,CSN---UTE002,992.0,Sudeste-Centro-Oeste,RJ
270.0,CORDOV-RJ138,138.0,Sudeste-Centro-Oeste,RJ
271.0,MERITI-RJ138,138.0,Sudeste-Centro-Oeste,RJ
272.0,TRIAGE-RJ138,138.0,Sudeste-Centro-Oeste,RJ
273.0,SAUDAD-RJ138,138.0,Sudeste-Centro-Oeste,RJ
274.0,V.RED-PCH138,138.0,Sudeste-Centro-Oeste,RJ
275.0,CASCA2-RJ138,138.0,Sudeste-Centro-Oeste,RJ
276.0,BRISAM-RJ138,138.0,Sudeste-Centro-Oeste,RJ
277.0,ZIN----RJ138,138.0,Sudeste-Centro-Oeste,RJ
278.0,PALMAR-RJ138,138.0,Sudeste-Centro-Oeste,RJ
279.0,BRAHMA-RJ138,138.0,Sudeste-Centro-Oeste,RJ
280.0,ABRTAP-RJ138,138.0,Sudeste-Centro-Oeste,RJ
281.0,RETIRO-RJ138,138.0,Sudeste-Centro-Oeste,RJ
282.0,RECREI-RJ138,138.0,Sudeste-Centro-Oeste,RJ
283.0,TERM.S-RJ138,138.0,Sudeste-Centro-Oeste,RJ
284.0,F.CANE-RJ138,138.0,Sudeste-Centro-Oeste,RJ
285.0,C.SOAR-RJ138,138.0,Sudeste-Centro-Oeste,RJ
286.0,R.FREI-RJ138,138.0,Sudeste-Centro-Oeste,RJ
287.0,SARAPU-RJ138,138.0,Sudeste-Centro-Oeste,RJ
288.0,ROSALI-RJ138,138.0,Sudeste-Centro-Oeste,RJ
289.0,CAMARA-RJ138,138.0,Sudeste-Centro-Oeste,RJ
290.0,SAMARI-RJ138,138.0,Sudeste-Centro-Oeste,RJ
291.0,PMETR1-RJ138,138.0,Sudeste-Centro-Oeste,RJ
292.0,PMETR2-RJ138,138.0,Sudeste-Centro-Oeste,RJ
293.0,CAMOR--RJ138,138.0,Sudeste-Centro-Oeste,RJ
294.0,SANTIS-RJ138,138.0,Sudeste-Centro-Oeste,RJ
295.0,SEROPE-RJ138,138.0,Sudeste-Centro-Oeste,RJ
296.0,S.BRANUHE002,992.0,Sudeste-Centro-Oeste,SP
297.0,S.BRAN-RJ088,88.0,Sudeste-Centro-Oeste,RJ
299.0,SMESA2-GO500,500.0,Sudeste-Centro-Oeste,GO
300.0,EMBORCUHE003,992.0,Sudeste-Centro-Oeste,MG
301.0,JAGUARUHE003,992.0,Sudeste-Centro-Oeste,MG
302.0,NPONTEUHE002,992.0,Sudeste-Centro-Oeste,MG
303.0,SSIMAOUHE004,992.0,Sudeste-Centro-Oeste,MG
304.0,T.MAR-UHE004,992.0,Sudeste-Centro-Oeste,MG
305.0,V.GRD-UHE003,992.0,Sudeste-Centro-Oeste,MG
306.0,GUILMAUHE003,992.0,Sudeste-Centro-Oeste,MG
307.0,AVATI-PCH138,138.0,Sudeste-Centro-Oeste,MG
308.0,BARBAC-MG345,345.0,Sudeste-Centro-Oeste,MG
309.0,BARBA-PCH138,138.0,Sudeste-Centro-Oeste,MG
312.0,MIRANDUHE002,992.0,Sudeste-Centro-Oeste,MG
313.0,BARREI-MG345,345.0,Sudeste-Centro-Oeste,MG
314.0,BARREI-MG138,138.0,Sudeste-Centro-Oeste,MG
315.0,BARRE-SIN001,13.8,Sudeste-Centro-Oeste,MG
317.0,SOBRAGUHE003,992.0,Sudeste-Centro-Oeste,MG
318.0,CASSIA-MG138,138.0,Sudeste-Centro-Oeste,MG
319.0,CPENA--MG230,230.0,Sudeste-Centro-Oeste,MG
320.0,EMBORC-MG500,500.0,Sudeste-Centro-Oeste,MG
