,BUS1,BUS2,BUS3,CI,G_MAG,B_MAG,WI1,WI2,WI3,WI_V,WI_A,ARE,OWN,NAME,BUS4,NAME2
161,251,250,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,N.PECA-RJ138-NPECA2UH,,
162,251,44323,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,N.PECA-RJ138-NPECA1UH,,
163,252,251,0,32,0.000,0.000,1,1,0,0.000000,0.00000,253,0,N.PECA-RJ230-N.PECA-R,,
164,254,253,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,FONTES-RJ138-FONTE2UH,,
165,254,44322,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,FONTES-RJ138-FONTE1UH,,
166,256,255,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,PPASSO-RJ138-PPASSOUH,,
167,258,257,0,01,0.000,0.000,1,1,0,0.000000,0.00000,257,0,I.POMB-RJ138-I.POMBUH,,
168,260,259,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,S.CEC-PCH138-SCECIL-R,,
169,262,261,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,VIGARI-RJ138-VIGARI-R,,
170,269,3972,0,01,0.000,0.000,1,1,0,0.000000,0.00000,255,0,CSN---UTE002-CSNINT-R,,
171,308,309,42035,01,0.000,0.000,1,1,1,1.027262,-10.16564,352,0,BARBAC-MG345-BAR2T1-M,42034,BAR2T1-MG000
172,313,314,45529,02,0.000,0.000,1,1,1,1.038125,-5.04729,352,0,BARREI-MG345-BARRE2-M,316,BARRE2-MG000
173,313,314,42044,01,0.000,0.000,1,1,1,1.038125,-5.04731,352,0,BARREI-MG345-BARRE1-M,1574,BARRE1-MG000
174,313,314,42048,05,0.000,0.000,1,1,1,0.995267,-5.06190,352,0,BARREI-MG345-BARRE5-M,42047,BARRE5-MG000
175,313,314,42050,06,0.000,0.000,1,1,1,0.996107,-5.02516,352,0,BARREI-MG345-BARRE6-M,42049,BARRE6-MG000
176,314,315,0,03,0.000,0.000,1,1,0,0.000000,0.00000,354,0,BARREI-MG138-BARRE-SI,,
177,319,9009,42063,04,0.000,0.000,1,1,1,1.028338,1.76300,353,0,CPENA--MG230-CPENA4-M,9008,CPENA4-MG000
178,319,9014,42065,05,0.000,0.000,1,1,1,1.031594,4.24926,353,0,CPENA--MG230-CPENA5-M,42064,CPENA5-MG000
179,320,300,0,01,0.000,0.000,1,1,0,0.000000,0.00000,351,0,EMBORC-MG500-EMBORCUH,,
180,320,9034,0,01,0.000,0.000,1,1,0,0.000000,0.00000,351,0,EMBORC-MG500-EMBORCSI,,
181,320,321,42079,06,0.000,0.000,1,1,1,1.019537,3.18683,351,0,EMBORC-MG500-EMBOR6-M,42078,EMBOR6-MG000
182,320,321,42081,07,0.000,0.000,1,1,1,1.019516,3.18249,351,0,EMBORC-MG500-EMBOR7-M,42080,EMBOR7-MG000
183,320,321,42083,10,0.000,0.000,1,1,1,1.019970,3.27697,351,0,EMBORC-MG500-EMBO10-M,42082,EMBO10-MG000
184,323,7442,42097,01,0.000,0.000,1,1,1,0.930687,-11.70873,359,0,ITUTIN-MG138-ITUTI1-M,42096,ITUTI1-MG000
185,323,7442,42099,02,0.000,0.000,1,1,1,1.088593,-11.66011,359,0,ITUTIN-MG138-ITUTI2-M,42098,ITUTI2-MG000
186,324,344,345,03,0.000,0.000,1,1,1,0.998558,2.83127,351,0,MSQ-T3-MG013-MESQU3-M,1591,MESQU3-MG000
187,325,326,42101,11,0.000,0.000,1,1,1,1.001919,-4.52536,351,0,JAGUAR-MG500-JAGR11-M,42100,JAGR11-MG000
188,325,326,42103,12,0.000,0.000,1,1,1,0.997461,-4.44900,351,0,JAGUAR-MG500-JAGR12-M,42102,JAGR12-MG000
189,325,326,42105,13,0.000,0.000,1,1,1,1.001919,-4.52536,351,0,JAGUAR-MG500-JAGR13-M,42104,JAGR13-MG000
190,326,301,0,01,0.000,0.000,1,1,0,0.000000,0.00000,352,0,JAGUAR-MG345-JAGUARUH,,
191,326,330,42183,07,0.000,0.000,1,1,1,0.998117,-4.50146,352,0,JAGUAR-MG345-JAGUT7-M,42182,JAGUT7-MG000
192,326,330,42185,08,0.000,0.000,1,1,1,0.998117,-4.50146,352,0,JAGUAR-MG345-JAGUT8-M,42184,JAGUT8-MG000
193,327,317,0,01,0.000,0.000,1,1,0,0.000000,0.00000,355,0,SOBRAG-MG138-SOBRAGUH,,
194,329,344,345,02,0.000,0.000,1,1,1,0.998660,2.81671,351,0,MSQ-T2-MG013-MESQU2-M,1590,MESQU2-MG000
195,331,332,42235,06,0.000,0.000,1,1,1,1.023981,-9.15798,352,0,J.FORA-MG345-JFORT6-M,42234,JFORT6-MG000
196,331,332,42237,07,0.000,0.000,1,1,1,1.022062,-9.16873,352,0,J.FORA-MG345-JFORT7-M,42236,JFORT7-MG000
197,336,337,9097,06,0.000,0.000,1,1,1,1.045387,-7.99645,352,0,LAFAIE-MG345-LAF-T6-M,4089,LAF-T6-MG000
198,336,337,338,03,0.000,0.000,1,1,1,1.045388,-7.99650,352,0,LAFAIE-MG345-LAF-T3-M,4318,LAF-T3-MG000
199,336,337,339,04,0.000,0.000,1,1,1,1.045516,-7.97664,352,0,LAFAIE-MG345-LAF-T4-M,4319,LAF-T4-MG000
